item_code,name,material_type,brand,finish,substrate,thickness,area_cost,area_handling_cost,area_assembly_cost,source_supplier,source_url,sample_image_url,thumbnail_url,sheet_length,sheet_width,sheet_cost,currency,price_status,review_status,visibility_status,texture_image_url,source_name,source_page,scraper_item_hash
POLY57524,Laminate Calacutta D'oro Smooth HL 0.7mm 3650x680 - Film,laminate,Polytec,Calacutta D'oro Smooth,,0.7,50.33,0,0,Polytec,https://www.polytec.com.au/colour/calacutta-doro/,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/showroom/calacutta-doro.jpg,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/showroom/calacutta-doro.jpg,3650,680,124.93,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/fullsheet/calacutta-doro-smooth.jpg,https://www.polytec.com.au/colour/calacutta-doro/,,e3309d9158ccbe040175e2ffba0dd0cf2a8849d8e1afba769edc02bc452700d6
POLY57525,Laminate Calacutta D'oro Smooth HS 0.7mm 1825x1360 - Film,laminate,Polytec,Calacutta D'oro Smooth,,0.7,50.33,0,0,Polytec,https://www.polytec.com.au/colour/calacutta-doro/,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/showroom/calacutta-doro.jpg,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/showroom/calacutta-doro.jpg,1825,1360,124.93,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/fullsheet/calacutta-doro-smooth.jpg,https://www.polytec.com.au/colour/calacutta-doro/,,1db30a1572098e8927615c101dc655ed651f19ac9c07bc2976d311447a480838
POLY57526,Laminate Calacutta D'oro Smooth Q 1825 x 680 - Film,laminate,Polytec,Calacutta D'oro Smooth,,0.7,50.34,0,0,Polytec,https://www.polytec.com.au/colour/calacutta-doro/,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/showroom/calacutta-doro.jpg,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/showroom/calacutta-doro.jpg,1825,680,62.47,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-doro/fullsheet/calacutta-doro-smooth.jpg,https://www.polytec.com.au/colour/calacutta-doro/,,535b60cbb8c10aef7bb765e848f3a3342b5f0a3670ea7553a451477f7d81e129
POLY57519,Laminate Calacutta Grey Smooth 0.7mm 3650x1360 - Film,laminate,Polytec,Calacutta Grey Smooth,,0.7,50.34,0,0,Polytec,https://www.polytec.com.au/colour/calacutta-grey/,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,3650,1360,249.87,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/fullsheet/calacutta-grey-smooth.jpg,https://www.polytec.com.au/colour/calacutta-grey/,,3b4770d721e7410b07f870996a9b717ff09bd24d679152810544f151c1cf0ce0
POLY57520,Laminate Calacutta Grey Smooth HL 0.7mm 3650x680 - Film,laminate,Polytec,Calacutta Grey Smooth,,0.7,50.33,0,0,Polytec,https://www.polytec.com.au/colour/calacutta-grey/,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,3650,680,124.93,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/fullsheet/calacutta-grey-smooth.jpg,https://www.polytec.com.au/colour/calacutta-grey/,,a9be6eae2e9445bd2a6af4d6852b6b3484538a5737d107022da6f77b5d2bbc51
POLY57521,Laminate Calacutta Grey Smooth HS 1825 x 1360 - Film,laminate,Polytec,Calacutta Grey Smooth,,0.7,50.33,0,0,Polytec,https://www.polytec.com.au/colour/calacutta-grey/,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,1825,1360,124.93,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/fullsheet/calacutta-grey-smooth.jpg,https://www.polytec.com.au/colour/calacutta-grey/,,4fffd2ddc9b4d31960855a42118d83876ee50eebd25d02036cf69d87e2999412
POLY57522,Laminate Calacutta Grey Smooth Q 1825 x 680 - Film,laminate,Polytec,Calacutta Grey Smooth,,0.7,50.34,0,0,Polytec,https://www.polytec.com.au/colour/calacutta-grey/,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/showroom/calacutta-grey.jpg,1825,680,62.47,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/calacutta-grey/fullsheet/calacutta-grey-smooth.jpg,https://www.polytec.com.au/colour/calacutta-grey/,,3972c219dec5b036fe5f55917bce74b0ce5c5010549cddfb7ac76afdd69b5aad
POLY47657,Laminate Canterbury Grey Matt 0.7mm 3650x1220,laminate,Polytec,Canterbury Grey Matt,,0.7,54.48,0,0,Polytec,https://www.polytec.com.au/colour/canterbury-grey/,/data/bower-supplier-catalog/assets/polytec/colours/canterbury-grey/showroom/canterbury-grey.jpg,/data/bower-supplier-catalog/assets/polytec/colours/canterbury-grey/showroom/canterbury-grey.jpg,3650,1220,242.6,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/canterbury-grey/fullsheet/canterbury-grey.jpg,https://www.polytec.com.au/colour/canterbury-grey/,,15e334326f62100763d5440408606507d3ee5e6d927afed553c023f4115a309d
POLY55654,Laminate Canterbury Grey Ravine 0.7mm 3650x1220,laminate,Polytec,Canterbury Grey Ravine,,0.7,59.89,0,0,Polytec,https://www.polytec.com.au/colour/canterbury-grey/,/data/bower-supplier-catalog/assets/polytec/colours/canterbury-grey/showroom/canterbury-grey.jpg,/data/bower-supplier-catalog/assets/polytec/colours/canterbury-grey/showroom/canterbury-grey.jpg,3650,1220,266.69,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/canterbury-grey/fullsheet/canterbury-grey.jpg,https://www.polytec.com.au/colour/canterbury-grey/,,3df46276dac8667539117009667b20232862f8724cd638b5e64c57d8a0cd5518
POLY43798,Laminate Carmine Oak Ravine 0.7mm 3650x1220,laminate,Polytec,Carmine Oak Ravine,,0.7,59.89,0,0,Polytec,https://www.polytec.com.au/colour/carmine-oak/,/data/bower-supplier-catalog/assets/polytec/colours/carmine-oak/showroom/carmine-oak.jpg,/data/bower-supplier-catalog/assets/polytec/colours/carmine-oak/showroom/carmine-oak.jpg,3650,1220,267.42,AUD,captured_raw_ex_gst,approved,Available,/data/bower-supplier-catalog/assets/polytec/colours/carmine-oak/fullsheet/carmine-oak.jpg,https://www.polytec.com.au/colour/carmine-oak/,,40784c8496806ca047ddfea9c2931fce28ef0b0bfe7d7d913ee367f4b8feef0d
