item_code,name,material_type,brand,finish,substrate,thickness,area_cost,area_handling_cost,area_assembly_cost,source_supplier,source_url,sample_image_url,thumbnail_url
AU1005188,Surf,sheet_material,Laminex,Silk,Laminex Decorated MDF,1,,0,0,Laminex,https://www.laminex.com.au/products/surf/Silk/p/AU1005188,/data/bower-supplier-catalog/assets/laminex/colours/surf/showroom/absolutematte-AU1004845.jpg,/data/bower-supplier-catalog/assets/laminex/colours/surf/showroom/absolutematte-AU1004845.jpg
AU1007290,Tasmanian Oak Truescale,sheet_material,Laminex,AbsoluteGrain,Benchtops - Laminex Decorated Particleboard,0.7,,0,0,Laminex,https://www.laminex.com.au/products/tasmanian-oak-truescale/AbsoluteGrain/p/AU1007290,/data/bower-supplier-catalog/assets/laminex/colours/tasmanian-oak-truescale/showroom/natural-AU1007299.jpg,/data/bower-supplier-catalog/assets/laminex/colours/tasmanian-oak-truescale/showroom/natural-AU1007299.jpg
AU1007299,Tasmanian Oak Truescale,sheet_material,Laminex,Natural,Benchtops - Laminex Decorated Particleboard,0.7,,0,0,Laminex,https://www.laminex.com.au/products/tasmanian-oak-truescale/Natural/p/AU1007299,/data/bower-supplier-catalog/assets/laminex/colours/tasmanian-oak-truescale/showroom/natural-AU1007299.jpg,/data/bower-supplier-catalog/assets/laminex/colours/tasmanian-oak-truescale/showroom/natural-AU1007299.jpg
AU1005039,Terrazzino Perlato,laminate,Laminex,Natural,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/terrazzino-perlato/Natural/p/AU1005039,/data/bower-supplier-catalog/assets/laminex/colours/terrazzino-perlato/showroom/natural-AU1005039.jpg,/data/bower-supplier-catalog/assets/laminex/colours/terrazzino-perlato/showroom/natural-AU1005039.jpg
AU1003373,Terril,laminate,Laminex,Natural,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/terril/Natural/p/AU1003373,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/natural-AU1003373.jpg,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/natural-AU1003373.jpg
AU1003734,Terril,sheet_material,Laminex,AbsoluteGloss,Laminex Decorated MDF,1,,0,0,Laminex,https://www.laminex.com.au/products/terril/AbsoluteGloss/p/AU1003734,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/natural-AU1003373.jpg,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/natural-AU1003373.jpg
AU1004856,Terril,laminate,Laminex,AbsoluteMatte,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/terril/AbsoluteMatte/p/AU1004856,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/natural-AU1003373.jpg,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/natural-AU1003373.jpg
AU1007258,Terril,sheet_material,Laminex,AbsoluteGrain,Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/terril/AbsoluteGrain/p/AU1007258,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/absolutegrain-AU1007258.jpg,/data/bower-supplier-catalog/assets/laminex/colours/terril/showroom/absolutegrain-AU1007258.jpg
AU1001765,Tornado,laminate,Laminex,Natural,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/tornado/Natural/p/AU1001765,/data/bower-supplier-catalog/assets/laminex/colours/tornado/showroom/natural-AU1001765.jpg,/data/bower-supplier-catalog/assets/laminex/colours/tornado/showroom/natural-AU1001765.jpg
AU1003736,Tornado,sheet_material,Laminex,AbsoluteGloss,Laminex Decorated MDF,1,,0,0,Laminex,https://www.laminex.com.au/products/tornado/AbsoluteGloss/p/AU1003736,/data/bower-supplier-catalog/assets/laminex/colours/tornado/showroom/natural-AU1001765.jpg,/data/bower-supplier-catalog/assets/laminex/colours/tornado/showroom/natural-AU1001765.jpg
AU1005189,Tornado,sheet_material,Laminex,Silk,Laminex Decorated MDF,1,,0,0,Laminex,https://www.laminex.com.au/products/tornado/Silk/p/AU1005189,/data/bower-supplier-catalog/assets/laminex/colours/tornado/showroom/silk-AU1005189.jpg,/data/bower-supplier-catalog/assets/laminex/colours/tornado/showroom/silk-AU1005189.jpg
AU1005043,Tumbled Terrazzo,laminate,Laminex,Natural,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/tumbled-terrazzo/Natural/p/AU1005043,/data/bower-supplier-catalog/assets/laminex/colours/tumbled-terrazzo/showroom/natural-AU1005043.jpg,/data/bower-supplier-catalog/assets/laminex/colours/tumbled-terrazzo/showroom/natural-AU1005043.jpg
AU1003749,Urban Pezzato,laminate,Laminex,Natural,Laminex Laminate (HPL),0.7,,0,0,Laminex,https://www.laminex.com.au/products/urban-pezzato/Natural/p/AU1003749,/data/bower-supplier-catalog/assets/laminex/colours/urban-pezzato/showroom/natural-AU1003749.jpg,/data/bower-supplier-catalog/assets/laminex/colours/urban-pezzato/showroom/natural-AU1003749.jpg
AU1007291,Victorian Ash Truescale,sheet_material,Laminex,AbsoluteGrain,Benchtops - Laminex Decorated MDF,0.7,,0,0,Laminex,https://www.laminex.com.au/products/victorian-ash-truescale/AbsoluteGrain/p/AU1007291,/data/bower-supplier-catalog/assets/laminex/colours/victorian-ash-truescale/showroom/natural-AU1007297.jpg,/data/bower-supplier-catalog/assets/laminex/colours/victorian-ash-truescale/showroom/natural-AU1007297.jpg
